1.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
39.8291 	EXP 	grating: autoDraw = False
39.9143 	EXP 	window1: recordFrameIntervals = False
39.9164 	DATA 	Keypress: right
39.9295 	EXP 	fixation: autoDraw = False
39.9295 	EXP 	grating: autoDraw = False
39.9296 	EXP 	window1: recordFrameIntervals = False
40.9067 	EXP 	fixation: autoDraw = True
41.9126 	EXP 	fixation: autoDraw = False
41.9296 	EXP 	grating: autoDraw = True
41.9296 	EXP 	grating: tex = 'sin'
42.2288 	EXP 	grating: autoDraw = False
42.3310 	EXP 	window1: recordFrameIntervals = False
42.3330 	DATA 	Keypress: right
42.3460 	EXP 	fixation: autoDraw = False
42.3460 	EXP 	grating: autoDraw = False
42.3461 	EXP 	window1: recordFrameIntervals = False
43.3237 	EXP 	fixation: autoDraw = True
44.3292 	EXP 	fixation: autoDraw = False
44.3462 	EXP 	grating: autoDraw = True
44.3462 	EXP 	grating: tex = 'sin'
44.6454 	EXP 	grating: autoDraw = False
44.6650 	EXP 	window1: recordFrameIntervals = False
44.6670 	DATA 	Keypress: right
44.6790 	EXP 	fixation: autoDraw = False
44.6790 	EXP 	grating: autoDraw = False
44.6791 	EXP 	window1: recordFrameIntervals = False
45.6582 	EXP 	fixation: autoDraw = True
46.6627 	EXP 	fixation: autoDraw = False
46.6789 	EXP 	grating: autoDraw = True
46.6789 	EXP 	grating: tex = 'sin'
46.9795 	EXP 	grating: autoDraw = False
47.1308 	EXP 	window1: recordFrameIntervals = False
47.1328 	DATA 	Keypress: left
47.1460 	EXP 	fixation: autoDraw = False
47.1460 	EXP 	grating: autoDraw = False
47.1461 	EXP 	window1: recordFrameIntervals = False
48.1233 	EXP 	fixation: autoDraw = True
49.1288 	EXP 	fixation: autoDraw = False
49.1288 	EXP 	grating: autoDraw = True
49.1288 	EXP 	grating: tex = 'sin'
49.4297 	EXP 	grating: autoDraw = False
49.5314 	EXP 	window1: recordFrameIntervals = False
49.5333 	DATA 	Keypress: right
49.5464 	EXP 	fixation: autoDraw = False
49.5464 	EXP 	grating: autoDraw = False
49.5465 	EXP 	window1: recordFrameIntervals = False
50.5243 	EXP 	fixation: autoDraw = True
51.5291 	EXP 	fixation: autoDraw = False
51.5461 	EXP 	grating: autoDraw = True
51.5461 	EXP 	grating: tex = 'sin'
51.8457 	EXP 	grating: autoDraw = False
51.8810 	EXP 	window1: recordFrameIntervals = False
51.8832 	DATA 	Keypress: right
51.8966 	EXP 	fixation: autoDraw = False
51.8966 	EXP 	grating: autoDraw = False
51.8967 	EXP 	window1: recordFrameIntervals = False
52.8738 	EXP 	fixation: autoDraw = True
53.8792 	EXP 	fixation: autoDraw = False
