trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,30,29,up,0.01,db,0.04858139757885526,0.0008117910001601558,87.84658349999881,87.84658349999881,88.14624224999898,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,31,30,down,0.005,db,0.048553439926021146,0.0006118330002209404,90.3136130419989,90.3136130419989,90.61281674999918,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,32,31,down,0.005,db,0.048553439926021146,0.0006109580008342164,92.74678312499964,92.74678312499964,93.04649979199894,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,33,32,down,0.005,db,0.048553439926021146,0.0007707500008109491,95.18017808299919,95.18017808299919,95.47965233299874,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,34,33,down,0.005,db,0.04852549836227444,0.0006038749997969717,97.59713945799922,97.59713945799922,97.89673687499999,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,35,34,down,0.005,db,0.04852549836227444,0.0006125419986346969,100.04646787499951,100.04646787499951,100.34645795799952,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,36,35,down,0.005,db,0.04852549836227444,0.0006082909985707374,102.42997204200037,102.42997204200037,102.72986808299902,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,37,36,down,0.005,db,0.04849757287835618,0.0007574999999633292,104.73067870799969,104.73067870799969,105.02970962499967,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,38,37,down,0.005,db,0.04849757287835618,0.0007702080001763534,107.17985512499945,107.17985512499945,107.48048387499875,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,39,38,down,0.005,db,0.04849757287835618,0.0007613329999003327,109.51352454199878,109.51352454199878,109.81303695799943,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,40,39,down,0.005,db,0.04846966346501274,0.00060033400040993,111.92990295799973,111.92990295799973,112.22949433299982,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,41,40,down,0.005,db,0.04846966346501274,0.0006008330001350259,114.36377674999858,114.36377674999858,114.66328799999974,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,42,41,down,0.005,db,0.04846966346501274,0.0007674999997107079,116.7471682079995,116.7471682079995,117.0463709579999,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,43,42,down,0.005,db,0.048441770112995816,0.0006077079997339752,119.11286904199915,119.11286904199915,119.41371733300002,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,44,43,down,0.005,db,0.048441770112995816,0.0006786670001019957,121.53015258300002,121.53015258300002,121.83009945799859,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,45,44,down,0.005,db,0.048441770112995816,0.0005940000010014046,123.92998758300018,123.92998758300018,124.23071216700009,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,46,45,down,0.005,db,0.04841389281306242,0.0007852500002627494,126.78072858300038,126.78072858300038,127.07991687499998,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,47,46,down,0.005,db,0.04841389281306242,0.000759583999752067,129.26335516699874,129.26335516699874,129.56316408299972,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
